title,year,length,budget,rating,votes,Action,Comedy,Drama,Romance,Short,best_pic_nom,best_pic_win,best_actor_win,best_actress_win,best_dir_win,country
Global Movie 1265,2016,155.0,147975538.0,6.3,36892,1,0,1,0,0,0,1,0,1,0,Global
Global Movie 1266,1978,145.0,49540668.0,8.7,871199,0,1,0,0,1,0,1,0,0,1,Global
Global Movie 1267,1958,71.0,40766147.0,8.0,214896,1,0,1,1,0,1,0,0,1,0,Global
Global Movie 1268,2016,170.0,175576487.0,8.9,162698,0,1,0,0,0,1,1,1,1,1,Global
Global Movie 1269,1974,76.0,89703610.0,7.4,305129,1,0,0,0,1,1,1,0,0,1,Global
Global Movie 1270,1991,95.0,24711279.0,4.7,504621,1,1,0,1,0,0,1,1,1,1,Global
Global Movie 1271,1958,159.0,186106207.0,4.6,767267,0,0,0,0,1,1,1,1,0,1,Global
Global Movie 1272,1989,157.0,194586551.0,4.3,308442,0,1,0,0,1,1,0,0,1,1,Global
Global Movie 1273,1974,145.0,82818290.0,7.1,724170,1,1,0,0,0,1,1,1,1,1,Global
Global Movie 1274,1954,85.0,106260873.0,5.3,140589,0,0,0,1,0,1,0,1,1,1,Global
Global Movie 1275,1960,92.0,43772387.0,8.0,681560,0,0,1,0,0,0,1,0,0,0,Global
Global Movie 1276,2008,109.0,6132869.0,7.8,877612,0,1,0,1,0,1,0,0,1,1,Global
Global Movie 1277,1987,129.0,118229738.0,5.7,95946,0,0,1,1,0,1,0,1,1,0,Global
Global Movie 1278,2021,142.0,143979855.0,5.0,502170,0,0,0,0,0,1,0,0,0,1,Global
Global Movie 1279,1954,101.0,42036858.0,4.6,954511,1,0,1,0,0,1,1,1,0,0,Global
Global Movie 1280,1997,84.0,109597428.0,8.1,179251,0,0,0,0,0,1,0,0,1,0,Global
Global Movie 1281,1967,170.0,183923282.0,6.5,223793,0,0,1,0,0,1,1,0,0,0,Global
Global Movie 1282,2019,82.0,8111905.0,5.8,90438,0,0,0,1,0,1,1,1,0,1,Global
Global Movie 1283,1986,74.0,196980382.0,8.7,37732,0,1,1,0,1,0,1,0,0,0,Global
Global Movie 1284,2009,144.0,149077424.0,7.3,751459,1,1,1,0,1,1,0,0,0,0,Global
Global Movie 1285,1997,143.0,187580264.0,6.8,483377,0,0,1,0,0,0,0,0,1,0,Global
Global Movie 1286,1977,121.0,2037904.0,8.1,417736,1,1,0,1,0,0,1,1,0,1,Global
Global Movie 1287,2018,146.0,6634222.0,8.5,884171,1,0,0,0,0,1,0,1,1,0,Global
Global Movie 1288,1989,110.0,124487453.0,7.8,57672,0,1,1,0,0,1,1,0,0,0,Global
Global Movie 1289,1994,122.0,84763253.0,6.4,359949,0,0,1,0,0,1,0,1,0,0,Global
Global Movie 1290,2011,179.0,197148541.0,6.1,145318,1,0,0,0,1,0,1,1,0,0,Global
Global Movie 1291,2007,119.0,32326650.0,8.2,253548,1,0,0,0,0,0,1,1,1,1,Global
Global Movie 1292,2016,84.0,16176259.0,6.8,981541,1,1,0,0,0,0,0,0,1,0,Global
Global Movie 1293,2005,175.0,112095323.0,7.9,528882,0,0,0,0,1,1,0,0,1,0,Global
Global Movie 1294,1989,76.0,49927001.0,8.9,68966,1,0,0,1,0,1,1,0,1,0,Global
Global Movie 1295,1989,109.0,148533430.0,9.0,885999,0,1,1,1,0,0,0,1,0,0,Global
Global Movie 1296,1982,97.0,57232827.0,5.5,293399,1,1,1,0,1,0,0,1,1,0,Global
Global Movie 1297,1955,101.0,150150648.0,5.0,227213,1,0,1,0,0,1,0,0,0,1,Global
Global Movie 1298,1968,168.0,164862149.0,5.4,143124,0,1,1,0,0,0,0,0,1,0,Global
Global Movie 1299,1989,84.0,193803456.0,8.1,495470,0,1,0,1,1,0,0,0,0,1,Global
Global Movie 1300,2008,169.0,46230048.0,6.0,191063,1,0,0,0,0,0,1,0,1,0,Global
Global Movie 1301,2008,154.0,185746546.0,5.0,937783,0,0,1,0,1,0,0,1,0,0,Global
Global Movie 1302,1997,139.0,40168490.0,4.5,291644,0,0,0,1,0,0,0,0,0,1,Global
Global Movie 1303,1990,134.0,174195604.0,5.8,741499,1,0,0,1,1,0,0,1,1,1,Global
Global Movie 1304,1962,73.0,139592024.0,4.7,971957,0,1,1,0,1,0,0,0,1,1,Global
Global Movie 1305,1994,80.0,30154998.0,4.9,58064,0,0,1,0,0,1,1,0,0,0,Global
Global Movie 1306,2002,177.0,193048831.0,7.8,669962,1,0,0,1,1,0,0,1,0,1,Global
Global Movie 1307,1991,95.0,121015096.0,4.1,133433,1,0,1,1,1,1,1,0,1,1,Global
Global Movie 1308,2012,130.0,8782634.0,4.6,306218,0,1,0,1,0,1,0,0,0,0,Global
Global Movie 1309,1976,106.0,28874386.0,8.6,164254,0,0,1,1,1,0,1,1,1,0,Global
Global Movie 1310,1987,92.0,156984988.0,8.6,603607,0,0,0,0,1,1,0,1,0,0,Global
Global Movie 1311,2009,162.0,121006025.0,5.8,353777,1,0,1,0,0,0,0,0,1,0,Global
Global Movie 1312,1956,154.0,167687543.0,4.5,246369,1,1,0,1,1,1,0,1,1,1,Global
Global Movie 1313,1954,178.0,105230304.0,7.9,602760,0,0,0,0,0,1,0,1,1,1,Global
Global Movie 1314,1994,178.0,102110391.0,6.0,908169,0,0,0,0,1,0,1,0,0,1,Global
Global Movie 1315,2007,160.0,74933328.0,4.3,880892,0,0,1,1,1,1,0,0,1,0,Global
Global Movie 1316,1980,172.0,96856572.0,4.9,721045,1,0,0,1,1,0,1,0,1,0,Global
Global Movie 1317,1972,109.0,87587513.0,4.8,861358,1,1,0,1,1,1,1,1,1,0,Global
Global Movie 1318,1991,146.0,77483451.0,7.2,966124,0,1,1,0,0,0,0,1,1,0,Global
Global Movie 1319,1959,92.0,85721438.0,8.9,563085,0,0,1,0,1,0,1,0,1,1,Global
Global Movie 1320,1981,85.0,44735877.0,8.4,523892,0,1,0,0,0,1,1,0,0,1,Global
Global Movie 1321,2002,163.0,86857552.0,7.0,638935,0,1,0,1,0,0,0,0,0,0,Global
Global Movie 1322,1979,130.0,34056049.0,6.3,533087,1,0,1,0,1,0,0,0,0,0,Global
Global Movie 1323,1988,137.0,97673572.0,7.4,959352,0,0,1,1,0,1,0,1,1,0,Global
Global Movie 1324,1980,173.0,85965309.0,6.4,566172,0,1,0,0,1,0,0,0,0,0,Global
Global Movie 1325,1951,149.0,186689817.0,5.4,379826,1,0,0,1,0,1,0,1,1,1,Global
Global Movie 1326,1961,100.0,13012272.0,7.7,339337,0,0,1,0,1,1,0,1,0,0,Global
Global Movie 1327,1988,122.0,165227957.0,8.8,751159,0,0,0,0,0,1,0,0,0,1,Global
Global Movie 1328,2015,175.0,18971663.0,6.1,819619,0,0,0,1,0,0,1,1,0,0,Global
Global Movie 1329,1962,94.0,34221319.0,8.6,720437,0,1,0,1,1,1,1,1,0,0,Global
Global Movie 1330,1995,113.0,86473996.0,6.4,322691,0,0,1,0,1,0,0,1,1,0,Global
Global Movie 1331,1976,81.0,171006428.0,6.2,141763,0,1,1,0,0,1,1,0,0,0,Global
Global Movie 1332,1966,159.0,7442399.0,4.2,188456,1,0,0,1,0,1,1,0,0,0,Global
Global Movie 1333,2009,170.0,64134935.0,7.8,317555,0,0,0,0,0,1,1,0,1,0,Global
Global Movie 1334,2013,166.0,20380303.0,8.4,864235,1,1,0,0,0,0,0,0,0,0,Global
Global Movie 1335,1984,161.0,15569226.0,7.6,477163,1,1,1,1,0,1,1,0,0,0,Global
Global Movie 1336,2019,78.0,17274309.0,4.8,881097,1,1,0,1,0,0,0,0,1,1,Global
Global Movie 1337,1979,81.0,13206970.0,4.6,100830,1,1,1,0,1,0,1,1,0,0,Global
Global Movie 1338,2020,138.0,140179554.0,7.2,355124,0,0,0,1,1,0,0,1,0,0,Global
Global Movie 1339,2012,123.0,10672204.0,6.2,175298,0,0,1,0,1,0,1,1,1,0,Global
Global Movie 1340,1977,123.0,135213833.0,6.4,35123,0,1,0,0,0,0,1,1,1,1,Global
Global Movie 1341,2009,97.0,168822052.0,9.3,507083,0,0,1,1,0,1,0,1,0,1,Global
Global Movie 1342,1986,125.0,91359129.0,8.0,638007,1,0,1,0,1,0,1,1,0,0,Global
Global Movie 1343,1971,168.0,22849453.0,6.3,254898,1,0,0,0,1,1,0,1,0,0,Global
Global Movie 1344,2017,138.0,9734143.0,4.1,215089,1,1,1,0,1,1,0,1,1,1,Global
Global Movie 1345,1969,167.0,41125952.0,4.2,647877,0,1,0,0,1,0,0,0,1,1,Global
Global Movie 1346,2017,179.0,130231064.0,7.8,312644,1,1,1,0,1,1,1,0,0,1,Global
Global Movie 1347,2013,167.0,141278025.0,8.6,334138,0,1,0,1,1,1,1,1,1,0,Global
Global Movie 1348,1966,146.0,187772230.0,7.9,473957,1,1,1,1,1,0,0,1,1,0,Global
Global Movie 1349,1961,172.0,47210871.0,6.2,358816,0,1,1,0,1,0,0,0,0,1,Global
Global Movie 1350,1971,175.0,69023972.0,4.2,718887,1,1,0,0,0,1,0,0,1,1,Global
Global Movie 1351,1966,178.0,100316124.0,9.3,714855,1,0,1,1,1,0,1,0,1,0,Global
Global Movie 1352,1959,127.0,190426699.0,9.4,829808,0,0,0,0,1,0,1,1,1,0,Global
Global Movie 1353,2014,147.0,20161488.0,7.0,118717,1,1,0,1,1,1,0,1,1,0,Global
Global Movie 1354,1971,144.0,29132051.0,4.4,969074,1,0,0,1,0,0,1,0,0,0,Global
Global Movie 1355,1999,111.0,188369753.0,7.0,353332,0,0,1,1,1,0,1,1,1,1,Global
Global Movie 1356,1963,107.0,2418351.0,8.9,890997,1,1,1,0,0,0,0,1,0,0,Global
Global Movie 1357,2013,137.0,5917970.0,7.7,591012,1,0,1,0,0,0,0,0,0,0,Global
Global Movie 1358,1996,122.0,4726713.0,8.0,550153,1,0,0,0,0,0,1,0,0,1,Global
Global Movie 1359,1978,102.0,177755438.0,4.5,30163,1,1,0,0,0,0,0,0,0,0,Global
Global Movie 1360,1985,140.0,194741067.0,4.6,983440,0,1,1,1,0,1,0,1,1,1,Global
Global Movie 1361,2001,125.0,168952276.0,4.7,367254,0,0,0,0,1,0,1,0,0,1,Global
Global Movie 1362,1956,174.0,198146921.0,9.0,103876,1,1,1,0,1,1,0,0,0,0,Global
Global Movie 1363,1978,141.0,22825461.0,6.9,608063,0,1,1,0,0,1,0,0,1,0,Global
Global Movie 1364,1960,170.0,164701281.0,8.4,510091,1,0,0,1,0,1,1,1,1,1,Global
Global Movie 1365,1982,120.0,151833926.0,4.6,910161,0,1,0,0,0,1,0,1,1,1,Global
Global Movie 1366,1955,143.0,98907234.0,9.1,456927,1,0,0,1,0,0,1,1,0,0,Global
Global Movie 1367,1981,112.0,127124302.0,8.5,142481,1,1,0,0,0,1,0,0,0,0,Global
Global Movie 1368,2000,84.0,161612288.0,5.2,585671,0,0,1,0,1,0,1,1,1,0,Global
Global Movie 1369,2007,107.0,186802201.0,8.8,275357,1,1,0,0,0,1,1,1,1,1,Global
Global Movie 1370,1975,84.0,83254360.0,5.4,144186,1,0,0,0,0,1,0,0,0,0,Global
Global Movie 1371,1995,74.0,163996282.0,5.1,501341,1,1,0,0,0,0,0,1,1,1,Global
Global Movie 1372,1978,162.0,4446010.0,5.5,885029,1,0,1,1,1,0,0,1,1,0,Global
Global Movie 1373,1953,152.0,50215310.0,9.0,21234,0,1,0,0,1,1,1,1,0,1,Global
Global Movie 1374,1962,123.0,116241045.0,9.0,948713,0,0,0,1,1,0,1,1,1,1,Global
Global Movie 1375,1988,120.0,108979141.0,5.8,416601,0,1,1,0,0,1,0,1,1,1,Global
Global Movie 1376,1964,79.0,20346611.0,7.9,596410,0,0,1,0,0,0,0,1,1,0,Global
Global Movie 1377,1978,81.0,67544334.0,7.7,603055,1,0,1,1,1,0,1,1,1,0,Global
Global Movie 1378,1978,73.0,4332951.0,8.4,407057,1,1,0,0,1,1,0,1,1,1,Global
Global Movie 1379,1981,164.0,62714580.0,5.6,564223,1,1,1,1,1,0,1,0,1,0,Global
Global Movie 1380,1951,87.0,115930246.0,6.8,13476,1,0,1,1,0,1,0,0,0,1,Global
Global Movie 1381,1996,149.0,51469628.0,7.7,607698,0,1,0,0,0,0,0,0,0,1,Global
Global Movie 1382,1971,173.0,120941724.0,4.1,518469,0,0,0,0,1,1,0,0,1,1,Global
Global Movie 1383,1976,105.0,148821309.0,6.1,995873,0,0,1,0,1,1,1,0,0,1,Global
Global Movie 1384,2016,94.0,23612831.0,7.8,399006,1,0,0,0,0,1,0,0,1,0,Global
Global Movie 1385,2005,156.0,14970740.0,5.4,654965,1,0,0,0,1,0,1,0,0,0,Global
Global Movie 1386,1970,145.0,66447994.0,9.3,570600,1,0,1,1,0,1,1,1,1,0,Global
Global Movie 1387,1996,167.0,148026941.0,4.2,968532,1,0,0,1,1,1,0,1,0,0,Global
Global Movie 1388,2008,105.0,184409732.0,9.3,976574,0,1,0,0,0,0,0,1,1,1,Global
Global Movie 1389,1955,170.0,169596925.0,5.2,898773,0,0,1,0,0,1,1,1,1,1,Global
Global Movie 1390,1968,136.0,18684867.0,4.3,712259,0,0,1,1,1,1,0,1,1,1,Global
Global Movie 1391,2006,78.0,119790929.0,5.6,442153,1,0,0,1,0,1,0,0,0,0,Global
Global Movie 1392,2018,130.0,23824162.0,8.3,220694,0,0,1,1,0,0,1,0,0,0,Global
Global Movie 1393,1952,122.0,98380944.0,8.1,320551,1,0,1,0,1,0,0,1,0,0,Global
Global Movie 1394,1950,87.0,67871281.0,5.1,121492,0,1,0,0,0,1,1,1,1,1,Global
Global Movie 1395,2007,112.0,152985335.0,5.1,868808,0,1,0,1,1,0,1,1,0,0,Global
Global Movie 1396,1987,104.0,105912663.0,7.5,442439,1,0,0,1,0,1,1,0,0,0,Global
Global Movie 1397,1964,132.0,185313153.0,6.5,822587,1,0,1,0,1,0,1,0,1,0,Global
Global Movie 1398,1983,167.0,158830028.0,8.4,245670,1,0,1,1,0,1,1,1,1,0,Global
Global Movie 1399,2010,174.0,68695933.0,4.1,973837,0,1,0,0,0,1,0,0,0,1,Global
Global Movie 1400,1984,147.0,88833141.0,7.4,211668,0,1,0,1,1,1,1,1,1,0,Global
Global Movie 1401,2013,73.0,191748356.0,8.0,286641,0,0,0,0,1,0,1,1,0,1,Global
Global Movie 1402,1974,162.0,123989860.0,9.5,67376,0,1,0,1,0,1,0,0,1,1,Global
Global Movie 1403,1973,110.0,184851300.0,7.7,635021,1,0,1,1,1,1,1,1,1,1,Global
Global Movie 1404,1961,114.0,122856484.0,5.3,647448,0,0,1,1,1,0,1,0,0,0,Global
Global Movie 1405,1967,119.0,175358402.0,4.6,157585,1,1,1,1,0,0,0,1,1,1,Global
Global Movie 1406,1964,148.0,165093374.0,7.5,33362,0,1,1,0,1,1,0,1,1,1,Global
Global Movie 1407,1976,97.0,68658530.0,6.9,577236,1,1,1,1,0,0,0,0,1,0,Global
Global Movie 1408,2021,111.0,176448022.0,8.9,481534,1,1,1,0,1,1,1,0,1,1,Global
Global Movie 1409,2009,149.0,177119291.0,8.0,439324,0,1,0,1,0,0,1,0,1,1,Global
Global Movie 1410,1995,145.0,124045597.0,6.8,871544,0,0,1,1,1,0,1,1,1,0,Global
Global Movie 1411,1966,138.0,46827857.0,6.2,119349,1,1,1,0,0,1,0,1,1,0,Global
Global Movie 1412,2002,167.0,72891833.0,6.2,900992,0,0,1,1,0,1,1,1,1,0,Global
Global Movie 1413,1957,175.0,163518944.0,5.2,172466,1,1,1,1,1,1,1,1,1,0,Global
Global Movie 1414,1976,70.0,176569711.0,4.1,182221,0,0,0,0,1,0,1,1,1,0,Global
Global Movie 1415,1995,108.0,8794087.0,7.2,62604,0,1,0,1,0,1,0,0,1,0,Global
Global Movie 1416,1999,165.0,187957735.0,5.2,208031,0,1,1,1,1,0,0,0,1,0,Global
Global Movie 1417,2020,159.0,22587590.0,5.1,564609,0,0,0,1,0,1,0,1,0,1,Global
Global Movie 1418,1952,86.0,66090055.0,4.7,179512,0,1,0,0,0,1,0,0,1,0,Global
Global Movie 1419,2013,160.0,187991743.0,5.0,515118,1,0,0,1,1,1,1,0,1,0,Global
Global Movie 1420,1993,157.0,98391988.0,4.2,666795,0,1,0,0,1,0,1,1,1,1,Global
Global Movie 1421,2002,104.0,100211831.0,7.7,483293,1,0,1,0,1,1,1,0,0,1,Global
Global Movie 1422,1973,115.0,166445178.0,6.2,12967,1,0,1,0,0,0,0,1,0,0,Global
Global Movie 1423,2009,111.0,37093497.0,7.1,929077,1,1,1,0,1,1,1,1,0,1,Global
Global Movie 1424,1952,108.0,114840779.0,7.5,516407,0,1,1,1,1,1,1,0,0,0,Global
Global Movie 1425,1969,159.0,95431407.0,9.3,8191,1,1,1,1,1,0,1,0,1,1,Global
Global Movie 1426,1995,118.0,150206942.0,4.4,440254,1,1,0,0,0,0,1,1,1,0,Global
Global Movie 1427,1964,131.0,19803307.0,6.3,654903,1,1,1,1,1,0,0,1,1,1,Global
Global Movie 1428,1974,107.0,32695058.0,5.4,156062,1,0,1,1,1,1,1,1,0,0,Global
Global Movie 1429,2020,92.0,60910590.0,6.6,802620,1,1,0,1,0,1,0,0,1,1,Global
Global Movie 1430,1966,91.0,147707017.0,9.1,623293,1,1,0,1,1,0,1,1,0,1,Global
Global Movie 1431,1958,73.0,138949350.0,8.0,51150,0,0,1,1,0,1,0,1,0,1,Global
Global Movie 1432,1987,118.0,182684683.0,7.6,669689,1,0,0,1,1,0,0,1,0,1,Global
Global Movie 1433,1997,128.0,184078244.0,6.4,658946,1,1,1,0,0,0,0,1,1,0,Global
Global Movie 1434,2009,142.0,14595880.0,7.7,241181,0,0,0,1,0,1,1,0,1,0,Global
Global Movie 1435,2012,137.0,37642118.0,4.2,3090,1,1,1,0,0,0,0,1,1,1,Global
Global Movie 1436,1951,140.0,1954227.0,7.2,957897,0,0,1,1,1,1,0,0,1,1,Global
Global Movie 1437,2021,156.0,129742581.0,7.0,598184,0,0,1,0,1,0,1,1,0,1,Global
Global Movie 1438,1960,71.0,13832377.0,5.9,392441,1,0,1,1,0,1,1,1,1,1,Global
Global Movie 1439,2013,118.0,196259725.0,5.1,956180,1,1,0,0,1,0,1,1,1,0,Global
Global Movie 1440,2021,157.0,31691270.0,8.4,67984,0,0,1,0,1,1,1,1,1,0,Global
Global Movie 1441,1970,173.0,38626908.0,4.3,913416,0,1,1,1,1,0,0,0,0,0,Global
Global Movie 1442,1967,164.0,114541833.0,4.4,102767,0,1,1,1,0,1,0,0,0,0,Global
Global Movie 1443,2013,100.0,46964380.0,6.4,230569,0,1,1,0,1,1,1,0,1,0,Global
Global Movie 1444,1987,109.0,89714056.0,5.4,944299,1,0,0,1,0,1,0,1,1,0,Global
Global Movie 1445,1981,117.0,105061795.0,8.1,38631,0,1,0,1,0,0,0,1,0,1,Global
Global Movie 1446,1960,120.0,166552457.0,7.5,176465,0,0,1,1,1,1,0,0,0,1,Global
Global Movie 1447,1994,112.0,42813714.0,8.2,274568,0,0,1,1,1,0,0,0,1,1,Global
Global Movie 1448,1982,167.0,145524471.0,5.8,628979,1,1,0,0,0,0,0,0,0,0,Global
Global Movie 1449,1990,124.0,70190416.0,8.1,404567,0,1,1,1,1,0,1,1,0,0,Global
Global Movie 1450,1957,157.0,100158664.0,8.7,794666,0,1,1,1,1,1,1,1,0,0,Global
Global Movie 1451,1960,118.0,199848236.0,5.9,174253,1,1,0,1,0,0,1,0,0,0,Global
Global Movie 1452,2000,159.0,114588576.0,5.9,770355,1,1,0,1,1,0,1,0,0,1,Global
Global Movie 1453,1990,149.0,100029932.0,8.9,645193,0,0,0,0,0,1,1,0,0,1,Global
Global Movie 1454,1966,126.0,165338647.0,4.3,5793,0,0,1,1,0,1,1,1,0,0,Global
Global Movie 1455,1995,146.0,166442824.0,5.9,315847,0,1,1,1,1,1,1,1,1,0,Global
Global Movie 1456,1981,84.0,108974278.0,4.7,505865,1,1,1,1,0,1,0,1,0,0,Global
Global Movie 1457,2003,96.0,153173586.0,4.2,931824,1,1,1,0,1,0,1,1,1,0,Global
Global Movie 1458,1969,137.0,73490726.0,4.6,854759,0,0,0,1,1,0,0,1,1,1,Global
Global Movie 1459,1982,149.0,109642929.0,6.4,965167,0,0,0,0,1,0,0,0,1,1,Global
Global Movie 1460,1989,133.0,150450890.0,7.8,668251,0,1,0,1,0,0,0,0,1,0,Global
Global Movie 1461,1981,163.0,12030140.0,5.6,756862,1,1,0,1,0,0,0,1,1,1,Global
Global Movie 1462,1951,177.0,17210635.0,8.7,765730,0,0,1,0,0,1,0,0,1,0,Global
Global Movie 1463,1982,99.0,122552444.0,6.4,784530,0,0,1,0,1,0,1,1,0,0,Global
Global Movie 1464,1979,105.0,78128441.0,9.3,304614,1,1,0,1,1,1,0,0,0,1,Global
Global Movie 1465,1982,136.0,52584524.0,9.2,702683,0,1,1,1,0,1,1,0,1,1,Global
Global Movie 1466,1975,155.0,97759691.0,8.3,293440,1,0,0,1,1,0,1,0,1,1,Global
Global Movie 1467,1971,155.0,45636414.0,9.1,99845,1,0,0,1,1,0,1,1,0,1,Global
Global Movie 1468,2015,118.0,42491540.0,7.9,903177,0,0,1,1,0,0,0,0,0,1,Global
Global Movie 1469,1987,145.0,138178569.0,8.9,607915,1,0,1,0,0,1,0,1,1,0,Global
Global Movie 1470,1995,124.0,25522289.0,5.3,764036,1,0,1,1,0,1,1,0,1,0,Global
Global Movie 1471,1964,154.0,149333219.0,5.9,561177,0,1,1,0,1,1,1,0,1,0,Global
Global Movie 1472,1993,125.0,37147291.0,8.1,265996,1,1,1,0,1,0,1,0,0,0,Global
Global Movie 1473,1998,137.0,133275799.0,6.3,384787,1,0,1,1,1,1,1,0,0,0,Global
Global Movie 1474,2010,164.0,8992388.0,8.6,477314,0,0,1,1,0,1,1,0,0,1,Global
Global Movie 1475,2016,113.0,90653284.0,8.8,684032,0,0,1,0,0,1,0,0,1,0,Global
Global Movie 1476,1955,100.0,92582204.0,5.6,666797,0,0,0,0,0,1,1,1,0,1,Global
Global Movie 1477,1958,127.0,103582011.0,8.5,618445,0,1,0,1,0,0,1,1,1,1,Global
Global Movie 1478,1955,156.0,125295307.0,4.8,473854,0,1,1,0,1,1,1,1,1,0,Global
Global Movie 1479,1981,122.0,76988985.0,5.8,894208,1,1,1,0,0,0,1,1,0,0,Global
Global Movie 1480,1990,153.0,81027516.0,6.8,875604,1,1,0,0,1,0,0,1,0,0,Global
Global Movie 1481,1957,148.0,84421863.0,5.2,722341,1,0,0,1,0,0,1,1,0,1,Global
Global Movie 1482,2021,92.0,47267957.0,7.2,479064,1,0,0,1,1,0,1,0,1,0,Global
Global Movie 1483,1999,97.0,122708417.0,7.2,205081,1,1,0,0,0,1,0,0,0,1,Global
Global Movie 1484,2011,85.0,88061681.0,5.1,941556,0,0,1,0,1,0,1,0,1,0,Global
Global Movie 1485,2011,106.0,69849448.0,8.4,932122,0,1,0,1,1,0,0,1,0,0,Global
Global Movie 1486,1956,90.0,88103276.0,7.5,11790,0,0,0,1,0,1,0,1,1,0,Global
Global Movie 1487,1953,148.0,165390758.0,5.7,812055,0,0,0,0,1,1,1,0,0,1,Global
Global Movie 1488,1955,86.0,181026985.0,5.3,213491,1,1,0,1,0,1,1,0,1,1,Global
Global Movie 1489,2007,106.0,39805640.0,8.8,977555,0,0,1,1,1,1,0,0,0,1,Global
Global Movie 1490,1971,146.0,59857661.0,8.6,52636,0,0,0,1,0,0,0,0,1,0,Global
Global Movie 1491,1975,88.0,91953343.0,5.3,981890,1,0,1,1,0,1,1,1,0,0,Global
Global Movie 1492,1952,99.0,118487150.0,4.2,117778,1,1,1,1,0,1,1,0,0,1,Global
Global Movie 1493,1990,114.0,174216715.0,8.4,993906,0,0,1,0,1,0,0,1,0,0,Global
Global Movie 1494,2009,87.0,102825792.0,7.4,985337,1,0,1,0,1,0,1,1,0,1,Global
Global Movie 1495,1963,147.0,59568491.0,4.6,485708,1,0,1,1,0,1,0,0,1,0,Global
Global Movie 1496,1961,131.0,62227669.0,7.2,962020,0,1,0,1,1,0,1,1,0,1,Global
Global Movie 1497,1961,105.0,109439314.0,6.5,415143,1,0,1,1,0,1,1,1,1,0,Global
Global Movie 1498,1962,169.0,36659471.0,8.3,527045,0,0,0,1,1,1,0,0,0,1,Global
Global Movie 1499,1974,153.0,187614174.0,5.1,592521,1,1,0,0,0,0,0,1,0,0,Global
Global Movie 1500,1994,121.0,188399794.0,6.5,664082,1,0,1,0,0,0,1,1,0,1,Global
Global Movie 1501,1968,88.0,37674242.0,4.9,156759,1,0,1,1,0,0,0,0,0,1,Global
Global Movie 1502,2004,178.0,169594089.0,9.3,735548,1,0,0,1,0,0,1,0,1,1,Global
Global Movie 1503,1994,113.0,89796753.0,8.3,414497,0,1,1,1,0,1,1,0,1,0,Global
Global Movie 1504,1957,76.0,65237209.0,8.1,650678,1,0,1,1,1,1,0,0,0,1,Global
Global Movie 1505,2002,113.0,126287052.0,7.8,389326,0,0,1,1,1,0,1,0,1,0,Global
Global Movie 1506,2004,137.0,183972561.0,6.3,404720,0,1,0,0,1,1,1,1,1,1,Global
Global Movie 1507,1981,103.0,36582274.0,9.1,369822,1,1,0,0,1,0,0,0,0,1,Global
Global Movie 1508,2000,135.0,90098361.0,4.4,844532,1,0,1,1,0,1,0,0,0,1,Global
Global Movie 1509,1993,138.0,28553666.0,8.4,157087,0,0,1,1,0,1,0,1,1,1,Global
Global Movie 1510,2019,124.0,70415512.0,5.2,605740,1,0,1,0,0,1,1,1,1,0,Global
Global Movie 1511,1967,79.0,195414059.0,5.8,465404,1,1,0,0,1,1,0,1,0,0,Global
Global Movie 1512,1971,165.0,185240947.0,6.9,466424,0,0,1,0,0,1,1,0,0,1,Global
Global Movie 1513,1986,111.0,26474534.0,8.3,511298,1,1,1,1,1,1,0,0,0,0,Global
Global Movie 1514,2005,110.0,38458301.0,8.6,921189,0,0,1,0,1,0,1,0,0,0,Global
Global Movie 1515,2008,146.0,123811671.0,7.2,91388,1,1,1,1,1,0,1,1,0,1,Global
Global Movie 1516,1952,172.0,80773767.0,6.2,248992,1,1,0,1,0,0,0,0,0,0,Global
Global Movie 1517,1977,138.0,188001352.0,9.2,648399,1,1,1,0,1,1,1,1,0,0,Global
Global Movie 1518,1984,79.0,17018797.0,5.4,579264,1,0,1,1,1,0,1,1,0,0,Global
Global Movie 1519,2010,79.0,104861156.0,8.4,358923,1,1,0,0,1,1,0,1,0,0,Global
Global Movie 1520,2003,171.0,11740829.0,7.4,949216,1,1,1,1,1,1,1,1,0,0,Global
Global Movie 1521,2012,160.0,101619636.0,6.1,92654,0,0,1,0,1,1,1,1,1,1,Global
Global Movie 1522,1956,129.0,56011666.0,4.0,992701,0,1,0,0,0,0,1,1,1,0,Global
Global Movie 1523,1998,120.0,5040015.0,6.5,123037,1,1,1,0,1,1,1,0,1,0,Global
Global Movie 1524,1980,90.0,72979671.0,5.5,704393,1,0,0,0,1,1,1,1,0,1,Global
Global Movie 1525,2007,77.0,121677867.0,4.6,214575,0,1,1,1,1,0,1,0,1,1,Global
Global Movie 1526,2010,134.0,123912807.0,4.4,349769,0,0,1,0,0,0,0,1,0,1,Global
Global Movie 1527,1973,161.0,117319590.0,5.9,169202,0,0,1,0,1,0,0,1,0,0,Global
Global Movie 1528,1969,172.0,8356148.0,7.4,986610,1,0,0,0,0,1,0,1,0,1,Global
Global Movie 1529,1986,147.0,17304297.0,8.6,766104,1,1,1,0,1,1,1,1,1,0,Global
Global Movie 1530,1953,154.0,154796273.0,5.0,336743,1,0,0,1,0,0,0,1,0,1,Global
Global Movie 1531,1969,99.0,101504252.0,6.3,484506,0,1,0,0,0,1,0,1,0,1,Global
